cd_nom	taxa_name	level_1_alp	level_1_mc
5926	Scorpiurium circinatum (Brid.) M.Fleisch. & Loeske	0	1
5933	Tomentypnum nitens (Hedw.) Loeske	1	1
5943	Entodon schleicheri (Schimp.) Demet.	1	0
5951	Isopterygiopsis muelleriana (Schimp.) Z.Iwats.	1	1
5954	Taxiphyllum wissgrillii (Garov.) Wijk & Margad.	1	0
5958	Plagiothecium cavifolium (Brid.) Z.Iwats.	1	0
5965	Plagiothecium laetum Schimp.	1	1
5971	Plagiothecium piliferum (Sw.) Schimp.	1	1
5973	Plagiothecium platyphyllum Mönk.	1	1
5980	Plagiothecium undulatum (Hedw.) Schimp.	1	0
5986	Herzogiella striatella (Brid.) Z.Iwats.	1	1
6018	Hylocomiastrum umbratum (Hedw.) M.Fleisch. ex Broth.	1	1
6020	Hyocomium armoricum (Brid.) Wijk & Margad.	1	1
6026	Hypnum andoi A.J.E.Sm.	1	0
6028	Hypnum bambergeri Schimp.	1	0
6029	Hypnum callichroum Brid.	1	1
6056	Hypnum imponens Hedw.	1	1
6069	Breidleria pratensis (W.D.J.Koch ex Spruce) Loeske	1	0
6091	Orthothecium intricatum (Hartm.) Schimp.	0	1
6096	Palustriella commutata (Hedw.) Ochyra	0	1
6097	Palustriella decipiens (De Not.) Ochyra	1	1
6105	Ptilium crista-castrensis (Hedw.) De Not.	0	1
6109	Pylaisia polyantha (Hedw.) Schimp.	0	1
6118	Rhytidiadelphus subpinnatus (Lindb.) T.J.Kop.	1	0
6141	Targionia hypophylla L.	1	1
6155	Mannia androgyna (L.) A.Evans	1	1
6157	Mannia fragrans (Balb.) Frye & L.Clark	1	1
6159	Mannia triandra (Scop.) Grolle	1	1
6172	Clevea hyalina (Sommerf.) Lindb.	1	0
6181	Marchantia paleacea Bertol.	1	0
6187	Preissia quadrata (Scop.) Nees	0	1
6194	Corsinia coriandrina (Spreng.) Lindb.	1	1
6204	Riccia beyrichiana Hampe ex Lehm.	1	1
6206	Riccia bifurca Hoffm.	1	1
6210	Riccia cavernosa Hoffm. emend. Raddi	1	1
6211	Riccia ciliata Hoffm.	1	1
