cd_nom	taxa_name	level_1_alp	level_1_mc	level_2_alp	level_2_mc
88734	Carex olbiensis Jord., 1846	0	1	0	0
126248	Thapsia villosa L., 1753	0	1	0	0
612597	Seseli longifolium subsp. intermedium Reduron, 2008	0	1	0	0
91727	Cistus umbellatus L., 1753	0	1	0	0
155051	Spiraea hypericifolia subsp. obovata (Waldst. & Kit. ex Willd.) H.Huber, 1964	0	1	0	0
88774	Carex pilosa Scop., 1772	0	1	1	1
142451	Vitis vinifera subsp. sylvestris (C.C.Gmel.) Hegi, 1925	0	1	0	0
115233	Potamogeton berchtoldii Fieber, 1838	0	1	1	0
102797	Himantoglossum hircinum (L.) Spreng., 1826	0	1	1	0
86124	Blysmus compressus (L.) Panz. ex Link, 1827	0	1	0	1
88608	Carex laevigata Sm., 1800	0	1	0	0
87620	Campanula cervicaria L., 1753	0	1	0	0
96465	Epipactis palustris (L.) Crantz, 1769	0	1	1	1
98910	Fraxinus angustifolia Vahl, 1804	0	1	1	0
86643	Bromus japonicus Thunb., 1784	0	1	1	0
117712	Rhus coriaria L., 1753	0	1	0	0
121156	Saxifraga prostii Sternb., 1831	0	1	0	0
109503	Neottia cordata (L.) Rich., 1817	0	1	1	0
84540	Asplenium viride Huds., 1762	0	1	0	0
85602	Bartsia alpina L., 1753	0	1	0	0
102674	Hieracium umbrosum Jord., 1848	0	1	0	0
82943	Anthriscus nitida (Wahlenb.) Hazsl., 1864	0	1	0	0
92054	Cochlearia pyrenaica DC., 1821	0	1	0	0
129033	Veronica urticifolia Jacq., 1773	0	1	0	1
126925	Tozzia alpina L., 1753	0	1	1	0
87068	Bupleurum longifolium L., 1753	0	1	1	0
128171	Ulmus laevis Pall., 1784	0	1	0	1
83528	Arctostaphylos uva-ursi (L.) Spreng., 1825	0	1	1	0
143754	Arctostaphylos uva-ursi var. crassifolius Braun-Blanq., 1957	0	1	0	0
124314	Sorbus chamaemespilus (L.) Crantz, 1763	0	1	1	1
106839	Luzula luzulina (Vill.) Racib., 1888	0	1	0	0
107000	Lycopodium annotinum L., 1753	0	1	1	1
94257	Dactylorhiza fuchsii (Druce) Soó, 1962	0	1	0	1
97454	Euphorbia angulata Jacq., 1789	0	1	0	0
160459	Melampyrum catalaunicum Freyn, 1884	0	1	0	1
91328	Cirsium erisithales (Jacq.) Scop., 1769	0	1	1	0
103034	Huperzia selago (L.) Bernh. ex Schrank & Mart., 1829	0	1	1	0
130065	Wahlenbergia hederacea (L.) Rchb., 1827	0	1	0	0
103651	Inula spiraeifolia L., 1759	0	1	1	1
107662	Medicago monspeliaca (L.) Trautv., 1841	0	1	1	1
103019	Hornungia petraea (L.) Rchb., 1838	0	1	0	1
83934	Artemisia alba Turra, 1764	0	1	1	1
108755	Moneses uniflora (L.) A.Gray, 1848	0	1	1	1
89316	Catabrosa aquatica (L.) P.Beauv., 1812	0	1	0	1
96456	Epipactis muelleri Godfery, 1921	0	1	1	1
132839	Carlina acanthifolia subsp. acanthifolia All., 1773	0	1	1	0
105908	Ligularia sibirica (L.) Cass., 1823	0	1	0	0
116547	Pyrola rotundifolia L., 1753	0	1	1	0
111561	Orobanche hederae Vaucher ex Duby, 1828	0	1	1	1
94942	Digitalis grandiflora Mill., 1768	0	1	0	0
115061	Polystichum lonchitis (L.) Roth, 1799	0	1	1	1
96852	Eriophorum latifolium Hoppe, 1800	0	1	0	0
88178	Carduus personata (L.) Jacq., 1776	0	1	0	0
91256	Circaea alpina L., 1753	0	1	1	0
119959	Salix bicolor Willd., 1796	0	1	0	0
89145	Carlina acanthifolia All., 1773	0	1	0	0
100487	Gnaphalium norvegicum Gunnerus, 1772	0	1	1	0
134966	Genista cinerea subsp. cinerea (Vill.) DC., 1805	0	0	1	0
127463	Trifolium rubens L., 1753	0	0	1	0
127412	Trifolium ochroleucon Huds., 1762	0	0	1	0
89663	Centaurea pectinata L., 1763	0	0	1	0
128555	Verbascum chaixii Vill., 1779	0	0	1	0
110945	Orchis pallens L., 1771	0	0	1	1
110801	Orchis anthropophora (L.) All., 1785	0	0	1	0
110237	Ononis striata Gouan, 1773	0	0	1	0
104525	Knautia collina Jord., 1848	0	0	1	0
131456	Anthriscus sylvestris subsp. alpina (Vill.) Gremli, 1874	0	0	1	0
125460	Tanacetum corymbosum (L.) Sch.Bip., 1844	0	0	1	1
162131	Himantoglossum robertianum (Loisel.) P.Delforge, 1999	0	0	1	0
129623	Viola mirabilis L., 1753	0	0	1	0
91630	Cistus albidus L., 1753	0	0	1	1
717747	Cyanus semidecurrens (Jord.) Holub, 1973	0	0	1	0
96659	Erica arborea L., 1753	0	0	1	0
114468	Podospermum laciniatum (L.) DC., 1805	0	0	1	0
84286	Asparagus tenuifolius Lam., 1783	0	0	1	0
87712	Campanula rapunculus L., 1753	0	0	1	0
138616	Paronychia kapela subsp. serpyllifolia (Chaix) Graebn., 1919	0	0	1	0
104456	Katapsuxis silaifolia (Jacq.) Raf., 1840	0	0	1	1
87925	Cardamine heptaphylla (Vill.) O.E.Schulz, 1903	0	0	1	0
130869	Aethionema saxatile subsp. saxatile (L.) R.Br., 1812	0	0	1	0
104036	Jasminum fruticans L., 1753	0	0	1	0
86288	Brachypodium phoenicoides (L.) Roem. & Schult., 1817	0	0	1	0
87678	Campanula medium L., 1753	0	0	1	0
83285	Arabis auriculata Lam., 1783	0	0	1	0
84485	Asplenium fontanum (L.) Bernh., 1799	0	0	1	0
118173	Rosa ferruginea Vill., 1779	0	0	1	0
141406	Stachys germanica subsp. germanica L., 1753	0	0	1	0
92467	Coriaria myrtifolia L., 1753	0	0	1	1
98868	Fragaria viridis Weston, 1771	0	0	1	0
96449	Epipactis leptochila (Godfery) Godfery, 1921	0	0	1	0
112783	Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb., 1801	0	0	1	0
94774	Dianthus sylvestris Wulfen subsp. longicaulis (Ten.) Greuter & Burdet	0	0	1	0
113725	Piptatherum paradoxum (L.) P.Beauv., 1812	0	0	1	0
111840	Osyris alba L., 1753	0	0	1	0
99032	Fumana thymifolia (L.) Spach ex Webb, 1838	0	0	1	1
83359	Arabis nova Vill., 1779	0	0	1	0
101455	Hesperis laciniata All., 1785	0	0	1	0
118498	Rosa sempervirens L., 1753	0	0	1	0
105230	Lathyrus niger (L.) Bernh., 1800	0	0	1	0
92631	Cotinus coggygria Scop., 1771	0	0	1	0
100551	Goodyera repens (L.) R.Br., 1813	0	0	1	0
609983	Euonymus latifolius (L.) Mill., 1768	0	0	1	0
92715	Cotoneaster x intermedius (Lecoq & Lamotte) H.J.Coste, 1923	0	0	1	0
113748	Pistacia terebinthus L., 1753	0	0	1	0
105490	Leontodon crispus Vill., 1779	0	0	1	1
97591	Euphorbia nicaeensis All., 1785	0	0	1	0
612633	Galatella sedifolia subsp. sedifolia (L.) Greuter, 2003	0	0	1	0
123577	Silene otites (L.) Wibel, 1799	0	0	1	1
114012	Platanthera chlorantha (Custer) Rchb., 1828	0	0	1	0
110129	Onobrychis saxatilis (L.) Lam., 1779	0	0	1	0
136983	Juniperus phoenicea subsp. phoenicea L., 1753	0	0	1	0
114942	Polypodium cambricum L., 1753	0	0	1	1
81541	Allium ursinum L., 1753	0	0	1	0
84513	Asplenium onopteris L., 1753	0	0	1	0
114243	Poa hybrida Gaudin, 1808	0	0	1	0
106919	Lychnis flos-jovis (L.) Desr., 1792	0	0	1	0
130802	Aconitum variegatum subsp. paniculatum (Arcang.) Negodi, 1944	0	0	1	0
83234	Aposeris foetida (L.) Less., 1832	0	0	1	0
608824	Arabis serpillifolia Vill., 1779	0	0	1	0
138095	Noccaea montana subsp. montana (L.) F.K.Mey., 1973	0	0	1	0
788869	Ervilia sylvatica (L.) Schur, 1853	0	0	1	0
96471	Epipactis purpurata Sm., 1828	0	0	1	1
96191	Epilobium lanceolatum Sebast. & Mauri, 1818	0	0	1	0
102925	Homogyne alpina (L.) Cass., 1821	0	0	1	0
120085	Salix laggeri Wimm., 1854	0	0	1	0
115076	Polystichum setiferum (Forssk.) T.Moore ex Woyn., 1913	0	0	1	0
100636	Gymnocarpium dryopteris (L.) Newman, 1851	0	0	1	0
129529	Viola canina L., 1753	0	0	1	0
