regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,108029,"[108023, 108025, 108026, 108029, 108033, 108058, 108086, 108105, 108116, 108121, 108122, 108123, 108131, 108133, 108135, 108169, 108171, 137749]","Mentha arvensis L., 1753",18,108029,"[108023, 108025, 108026, 108029, 108033, 108058, 108086, 108105, 108116, 108122, 108123, 108131, 108133, 108135, 108169, 108171, 137749]","Mentha arvensis L., 1753",17,"[107, 108, 106]",3,11,"cas2, cas3: f_cd_ref",Merge attributes if exists,merge
Plantae,Trachéophytes,Angiospermes,124805,"[124805, 124810, 124815]","Stachys recta L., 1767",3,124805,"[124805, 124810]","Stachys recta L., 1767",2,,,17,"cas2, cas3: f_cd_ref",Merge attributes if exists,merge
Animalia,Arthropodes,Insectes,643182,[643182],"Trichiusa immigrata Lohse, 1984",1,1030540,[643182],"Trichiusa robustula Casey, 1893",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,160459,"[107802, 160459, 947812]","Melampyrum catalaunicum Freyn, 1884",3,160460,"[160459, 947812]","Melampyrum nemorosum subsp. catalaunicum (Freyn) Beauverd, 1912",2,[107],1,5,cas2,Loose attributes and medium now attach to No one,split
Plantae,Trachéophytes,Angiospermes,119240,"[119067, 119240]","Rubus obscurus Kaltenb., 1844",2,119017,[119240],"Rubus cinerascens Weihe ex Lej., 1831",1,,,,cas2,Loose attributes and medium now attach to No one,split
Fungi,Basidiomycètes,Autres,971178,"[29377, 469175, 469176, 971178]","Caloboletus calopus (Pers.) Vizzini, 2014",4,971179,[469175],"Caloboletus polygonius (A.E.Hills & Vassiliades) Vizzini, 2014",1,,,,cas2,Loose attributes and medium now attach to 971178,split
Animalia,Arthropodes,Insectes,264354,"[264354, 782039]","Plagiolepis pallescens Forel, 1889",2,1025242,[782039],"Plagiolepis pyrenaica Emery, 1921",1,,,,cas2,Loose attributes and medium now attach to 264354,split
Plantae,Trachéophytes,Angiospermes,119220,"[119002, 119022, 119133, 119188, 119220, 119242, 119353, 119363]","Rubus montanus Lib. ex Lej., 1813",8,119353,[119353],"Rubus subvillosus Sudre, 1902",1,,,4,cas2,Loose attributes and medium now attach to 119220,split
Fungi,Basidiomycètes,Autres,36170,[36170],"Hebeloma perpallidum M.M.Moser, 1970",1,36128,"[36128, 36170, 461989]","Hebeloma eburneum Malençon, 1970",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,33360,[33360],"Tricholoma saponaceum var. sulfurinum (Quél.) Rea, 1922",1,33349,"[33349, 33352, 33360]","Tricholoma saponaceum (Fr.) P.Kumm., 1871",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,32663,[32663],"Melanoleuca phaeopodia (Bull.) Murrill, 1914",1,32479,"[32479, 32663, 32683]","Melanoleuca friesii (Bres.) Bon, 1978",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,461989,[461989],"Hebeloma ochroalbidum Bohus, 1972",1,36128,"[36128, 36170, 461989]","Hebeloma eburneum Malençon, 1970",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
Fungi,Basidiomycètes,Autres,470243,[470243],"Suillus luteus f. albus Wasser & Soldatova, 1974",1,29729,"[29729, 470243, 470245]","Suillus luteus (L.) Roussel, 1796",3,,,,cas3: f_cd_ref,Merge attributes if exists,merge
